0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/js/jquery.dcjqaccordion.2.7.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/js/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/js/jquery2.0.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/css/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/js/jquery.scrollTo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:19 +0530] "GET /Khajina_Doctor/admin/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "POST /Khajina_Doctor/AdminController HTTP/1.1" 200 28028
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/admin/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/admin/css/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/admin/css/monthly.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/admin/js/raphael-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/admin/js/morris.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/images/2.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/admin/images/search-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/images/3.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/admin/js/monthly.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/images/1.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:36 +0530] "GET /Khajina_Doctor/admin/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
