127.0.0.1 - - [01/May/2023:14:42:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/index.jsp HTTP/1.1" 200 29504
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/css/ziehharmonika.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/css/JiSlider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/css/services.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/JiSlider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/ziehharmonika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/images/about.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:22 +0530] "GET /Khajina_Doctor/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/g2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/g5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/g3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/g4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/g7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/g9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/images/g6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:23 +0530] "GET /Khajina_Doctor/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:24 +0530] "GET /Khajina_Doctor/js/jquery.flexslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:24 +0530] "GET /Khajina_Doctor/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:24 +0530] "GET /Khajina_Doctor/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:25 +0530] "GET /Khajina_Doctor/images/slid1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:26 +0530] "GET /Khajina_Doctor/images/slid2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:42:26 +0530] "GET /Khajina_Doctor/images/slid3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:44:02 +0530] "GET /Khajina_Doctor/Patient_Login.jsp HTTP/1.1" 200 13653
0:0:0:0:0:0:0:1 - - [01/May/2023:14:44:24 +0530] "POST /Khajina_Doctor/PatientController HTTP/1.1" 200 28499
0:0:0:0:0:0:0:1 - - [01/May/2023:14:44:33 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 31294
0:0:0:0:0:0:0:1 - - [01/May/2023:14:49:48 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 31304
0:0:0:0:0:0:0:1 - - [01/May/2023:14:50:09 +0530] "GET /Khajina_Doctor/index.jsp HTTP/1.1" 200 29504
0:0:0:0:0:0:0:1 - - [01/May/2023:14:50:12 +0530] "GET /Khajina_Doctor/Patient_Login.jsp HTTP/1.1" 200 13653
0:0:0:0:0:0:0:1 - - [01/May/2023:14:50:28 +0530] "POST /Khajina_Doctor/PatientController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:50:51 +0530] "POST /Khajina_Doctor/PatientController HTTP/1.1" 200 28499
0:0:0:0:0:0:0:1 - - [01/May/2023:14:50:54 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 31304
0:0:0:0:0:0:0:1 - - [01/May/2023:14:52:29 +0530] "GET /Khajina_Doctor/index.jsp HTTP/1.1" 200 29504
0:0:0:0:0:0:0:1 - - [01/May/2023:14:52:33 +0530] "GET /Khajina_Doctor/Patient_Login.jsp HTTP/1.1" 200 13653
0:0:0:0:0:0:0:1 - - [01/May/2023:14:52:50 +0530] "POST /Khajina_Doctor/PatientController HTTP/1.1" 200 28499
0:0:0:0:0:0:0:1 - - [01/May/2023:14:52:52 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 31311
0:0:0:0:0:0:0:1 - - [01/May/2023:14:56:12 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 31243
0:0:0:0:0:0:0:1 - - [01/May/2023:15:00:21 +0530] "GET /Khajina_Doctor/index.jsp HTTP/1.1" 200 29504
0:0:0:0:0:0:0:1 - - [01/May/2023:15:00:26 +0530] "GET /Khajina_Doctor/Patient_Login.jsp HTTP/1.1" 200 13653
0:0:0:0:0:0:0:1 - - [01/May/2023:15:00:39 +0530] "POST /Khajina_Doctor/PatientController HTTP/1.1" 200 28499
0:0:0:0:0:0:0:1 - - [01/May/2023:15:01:11 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 31303
0:0:0:0:0:0:0:1 - - [01/May/2023:15:04:15 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 31303
0:0:0:0:0:0:0:1 - - [01/May/2023:15:09:45 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 31285
0:0:0:0:0:0:0:1 - - [01/May/2023:15:09:50 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [01/May/2023:15:09:51 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:09:51 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:09:51 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:09:51 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:11:42 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 31292
0:0:0:0:0:0:0:1 - - [01/May/2023:15:11:47 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [01/May/2023:15:11:47 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:11:47 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:11:47 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:11:47 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:12:02 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [01/May/2023:15:12:02 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:12:02 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:12:02 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:12:02 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:14:43 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 26748
0:0:0:0:0:0:0:1 - - [01/May/2023:15:14:49 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [01/May/2023:15:14:49 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:14:49 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:14:49 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:14:49 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:16:23 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 26748
0:0:0:0:0:0:0:1 - - [01/May/2023:15:29:10 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [01/May/2023:15:29:10 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:29:10 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:29:10 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:29:10 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:20 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:20 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:20 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:20 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:20 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:22 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:22 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:22 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:22 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:22 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:23 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:23 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:23 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:23 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:23 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:25 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:25 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:25 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:25 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:25 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:52 +0530] "GET /Khajina_Doctor/viewdepartment.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:52 +0530] "GET /Khajina_Doctor/styles.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:52 +0530] "GET /Khajina_Doctor/photo1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:53 +0530] "GET /Khajina_Doctor/photo2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [01/May/2023:15:32:53 +0530] "GET /Khajina_Doctor/photo3.jpg HTTP/1.1" 404 780
